index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,Category
519,17,MSI Katana 15 B12UDXK-1004IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),949.9,76,2,3,10,16,16,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,2,1
520,0,Acer TMP214-41-G3 UN.VSQSI.007 Notebook (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),369.9,63,0,10,6,12,16,SSD,512,No secondary storage,0,0,2,False,14.0,1366,768,6,1,1
521,0,Acer TMP214-41-G3 UN.VSQSI.006 Notebook (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),419.9,60,0,10,6,12,8,SSD,512,No secondary storage,0,0,2,False,14.0,1366,768,6,1,3
522,2,Asus VivoBook 15 X1504ZA-NJ326WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),409.26,57,2,1,6,8,8,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
523,2,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),716.0,62,0,10,6,12,16,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
524,2,Asus Vivobook Go 14 2023 E1404FA-NK327WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),339.9,56,0,9,4,8,8,SSD,512,No secondary storage,0,0,2,False,14.0,1920,1080,6,1,3
526,6,Dell Vostro 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),374.9,58,2,1,2,4,8,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
527,6,Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),859.9,57,2,3,10,12,16,SSD,1024,No secondary storage,0,3,2,False,14.0,1920,1080,6,1,2
528,2,Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),579.9,69,2,2,6,12,16,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
529,10,HP Victus 15-fb1018AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),580.7,63,0,10,6,12,8,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,3
530,7,Fujitsu UH-X 4ZR1L73352 2-in-1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),1099.9,76,2,3,12,16,16,SSD,1024,No secondary storage,0,3,2,True,14.0,1920,1200,6,2,2
531,10,HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),319.9,51,0,9,2,4,8,SSD,512,No secondary storage,0,0,2,False,15.6,1920,1080,6,1,3
532,10,HP Omen 16-wf0056TX 834U0PA Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),1529.9,70,2,3,16,24,16,SSD,512,No secondary storage,0,4,1,False,16.1,1920,1080,6,1,1
533,14,Lenovo IdeaPad Gaming 3i 82K101GTIN Laptop (11th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),588.5,64,2,2,4,8,8,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,3
535,2,Asus Vivobook Pro 15 M6500QF-HN541WS Creator Laptop (AMD Ryzen 5 5600H/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),599.9,63,0,10,6,12,16,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
536,14,Lenovo IdeaPad Slim 5 14IAH8 83BF0045IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),639.9,60,2,2,8,12,16,SSD,1024,No secondary storage,0,3,2,False,14.0,1920,1200,6,1,2
537,24,Wings Nuvobook S2 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),269.9,51,2,1,4,8,8,SSD,512,No secondary storage,0,3,2,False,15.6,1080,1920,6,1,3
538,0,Acer Aspire 3 Spin 14 NX.KENSI.002 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),414.9,45,2,1,8,8,8,SSD,512,No secondary storage,0,3,2,False,14.0,1920,1200,6,1,3
539,14,Lenovo IdeaPad Slim 5 16IRL8 82XF003GIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),701.9,60,2,2,12,16,16,SSD,512,No secondary storage,0,3,2,False,16.0,1920,1200,6,1,2
540,14,Lenovo IdeaPad 3 15ITL6 82H803GSIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),366.9,60,2,1,2,4,8,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
541,14,Lenovo IdeaPad Slim 5 82XD003NIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),671.9,62,2,2,8,12,16,SSD,512,No secondary storage,0,3,2,False,14.0,1920,1200,6,2,2
542,12,Infinix INBook X3 Slim Series XL422 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),449.9,57,2,3,10,12,16,SSD,512,No secondary storage,0,3,2,False,14.0,1920,1080,6,1,3
543,14,Lenovo V15 82KB00RJIH Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),469.9,65,2,2,4,8,16,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
544,6,Dell Inspiron 3530 2023 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),458.7,56,2,1,5,6,8,SSD,1024,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
545,6,Dell Inspiron 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),383.49,58,2,1,2,4,8,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
546,14,Lenovo IdeaPad Slim 5 16IRL8 82XF003JIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),841.9,64,2,3,14,20,16,SSD,512,No secondary storage,0,3,2,False,16.0,1920,1080,6,1,2
